0.0275,0.0295,0.0325,0.0285,0.0295,0.0595
0.0585,0.0885,0.0565,0.0735,0.0985,0.1375
0.0565,0.1115,0.1085,0.1005,0.2055,0.2755
0.1005,0.1325,0.1575,0.1365,0.2415,0.3425
0.3415,0.3455,0.4725,0.4525,0.5505,1.0845
0.3915,0.4175,0.6255,0.6065,1.6735,2.0315
0.0495,0.0875,0.0715,0.0745,0.1645,0.1315
0.0545,0.0945,0.0605,0.0755,0.1145,0.1415
0.2515,0.5175,0.5035,0.5788,1.2685,1.4525
0.3995,0.6515,0.6695,0.7575,1.6765,1.7715
0.1635,0.3015,0.2206,0.3275,0.4525,0.8275
0.2845,0.2995,0.3146,0.3335,0.5405,0.9225
0.4705,0.4035,0.6315,0.7355,1.6375,2.0375
0.8015,0.7625,1.2585,1.2995,2.4835,3.0485
0.3685,0.4185,0.6745,0.8095,1.8355,2.4085
0.1905,0.2475,0.4375,0.5455,1.0865,1.2165
0.7665,0.9045,1.3365,2.0605,3.1045,5.7555
0.7115,0.7995,1.1315,1.3815,2.5195,3.8725
1.2305,1.7925,2.5165,5.1685,6.1105,16.1185
0.0635,0.1235,0.1035,0.1535,0.1215,0.3115
2.6095,2.7285,3.1456,3.3268,4.2105,5.9825
2.9065,3.3495,3.4295,3.8945,5.0485,7.0875
5.3165,6.2965,6.3615,7.4685,9.9325,13.8685
3.1215,14.6845,16.0975,16.0685,1.6695,56.4645
0.3445,0.7655,0.1955,0.9245,0.4075,1.6335
0.3585,0.2935,0.4175,0.4115,1.0685,1.1135
0.6975,0.7645,0.1715,0.9185,0.3795,1.6335
2.6315,2.9275,2.9895,3.5315,4.4715,6.3835
3.2705,2.7115,10.1605,10.1295,27.7525,39.0775
0.0665,0.1225,0.1015,0.0985,0.2395,0.2475
0.6555,0.7595,0.9915,1.0425,1.9475,2.0805
1.5035,1.7235,1.9615,2.2525,2.9495,3.6925
1.4245,2.1125,2.7415,5.0458,7.2295,19.0805
2.8155,3.0385,4.2335,5.0775,8.2865,18.5485
2.8465,3.0885,4.2615,5.0785,9.0225,18.4635
0.2415,0.2125,0.5375,0.3755,1.4795,0.9705
0.1575,0.1755,0.1675,0.1645,0.1535,0.2765
0.1225,0.1385,0.1315,0.1175,0.1425,0.1745
0.0985,0.1275,0.1075,0.1125,0.1015,0.2135
0.2765,0.1665,0.3125,0.1765,0.3165,0.3915
0.0775,0.0885,0.0745,0.0795,0.0695,0.1115
0.0725,0.0785,0.0645,0.0655,0.0615,0.1055
0.0785,0.0745,0.0785,0.0665,0.0735,0.1105